,c_a,unit,scp,station,linename,division,data,time,desc,entries,exits
50,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/14/18,11:00:00,REGULAR,5821321,1299113
51,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/14/18,15:00:00,REGULAR,5821444,1299141
52,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/14/18,19:00:00,REGULAR,5821596,1299171
53,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/14/18,23:00:00,REGULAR,5821688,1299186
54,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/15/18,3:00:00,REGULAR,5821706,1299190
55,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/15/18,7:00:00,REGULAR,5821710,1299198
56,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/15/18,11:00:00,REGULAR,5821778,1299278
57,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/15/18,15:00:00,REGULAR,5821924,1299320
58,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/15/18,19:00:00,REGULAR,5822300,1299367
59,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/15/18,23:00:00,REGULAR,5822435,1299387
60,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/16/18,3:00:00,REGULAR,5822451,1299392
61,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/16/18,7:00:00,REGULAR,5822465,1299405
62,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/16/18,11:00:00,REGULAR,5822585,1299552
63,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/16/18,15:00:00,REGULAR,5822749,1299594
64,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/16/18,19:00:00,REGULAR,5823359,1299650
65,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/16/18,23:00:00,REGULAR,5823546,1299670
66,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/17/18,3:00:00,REGULAR,5823573,1299672
67,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/17/18,7:00:00,REGULAR,5823581,1299685
68,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/17/18,11:00:00,REGULAR,5823707,1299803
69,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/17/18,15:00:00,REGULAR,5823840,1299839
70,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/17/18,19:00:00,REGULAR,5824415,1299891
71,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/17/18,23:00:00,REGULAR,5824648,1299917
72,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/18/18,3:00:00,REGULAR,5824668,1299949
73,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/18/18,7:00:00,REGULAR,5824676,1299964
74,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/18/18,11:00:00,REGULAR,5824793,1300106
75,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/18/18,15:00:00,REGULAR,5824962,1300144
76,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/18/18,19:00:00,REGULAR,5825578,1300189
77,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/18/18,23:00:00,REGULAR,5825782,1300211
78,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/19/18,3:00:00,REGULAR,5825811,1300214
79,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/19/18,7:00:00,REGULAR,5825814,1300229
80,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/19/18,11:00:00,REGULAR,5825914,1300384
81,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/19/18,15:00:00,REGULAR,5826110,1300440
82,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/19/18,19:00:00,REGULAR,5826715,1300500
83,A002,R051,02-00-01,59 ST,NQR456W,BMT,1/19/18,23:00:00,REGULAR,5826910,1300520
84,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/13/18,3:00:00,REGULAR,1027418,3805425
